Day,"Campaign ID","Campaign name","Ad set ID","Ad Set Name","Ad ID","Ad name",Objective,Region,"Delivery status","Delivery level","Attribution setting",Reach,Impressions,Frequency,"Amount spent (NZD)","Link clicks","CPM (cost per 1,000 impressions)","CPC (cost per link click)","CTR (all)","Video plays at 25%","Reporting starts","Reporting ends"
2025-07-10,120227934035310154,Always_On_Campaign_all_Placements,120227934035330154,Always_On_Ad_Set_all_placements,120227934035320154,Always_On_Expanded_ads,LINK_CLICKS,"Bay of Plenty Region",active,ad,"7-day click or 1-day view",33,36,1.09090909,0.18196078,1,5.05446623,0.18196078,2.77777778,,2025-07-10,2025-07-10
2025-07-10,120227934035310154,Always_On_Campaign_all_Placements,120227934035330154,Always_On_Ad_Set_all_placements,120227934035320154,Always_On_Expanded_ads,LINK_CLICKS,"Wellington Region",active,ad,"7-day click or 1-day view",141,153,1.08510638,0.82893246,5,5.41785923,0.16578649,4.5751634,,2025-07-10,2025-07-10
2025-07-10,120227934035310154,Always_On_Campaign_all_Placements,120227934035330154,Always_On_Ad_Set_all_placements,120227934035320154,Always_On_Expanded_ads,LINK_CLICKS,"Northland Region",active,ad,"7-day click or 1-day view",18,18,1,0.11119826,3,6.17768095,0.03706609,22.22222222,,2025-07-10,2025-07-10
2025-07-10,120227934035310154,Always_On_Campaign_all_Placements,120227934035330154,Always_On_Ad_Set_all_placements,120227934035320154,Always_On_Expanded_ads,LINK_CLICKS,"Nelson Province",active,ad,"7-day click or 1-day view",8,9,1.125,0.04043573,1,4.49285887,0.04043573,11.11111111,,2025-07-10,2025-07-10
2025-07-10,120227934035310154,Always_On_Campaign_all_Placements,120227934035330154,Always_On_Ad_Set_all_placements,120227934035320154,Always_On_Expanded_ads,LINK_CLICKS,"West Coast",active,ad,"7-day click or 1-day view",4,4,1,0.0303268,1,7.58169935,0.0303268,50,,2025-07-10,2025-07-10
2025-07-10,120227934035310154,Always_On_Campaign_all_Placements,120227934035330154,Always_On_Ad_Set_all_placements,120227934035320154,Always_On_Expanded_ads,LINK_CLICKS,Canterbury,active,ad,"7-day click or 1-day view",68,71,1.04411765,0.48522876,3,6.83420786,0.16174292,9.85915493,,2025-07-10,2025-07-10
2025-07-09,120223368010610154,Suits_Salwaar_new_stock_27th_April,120223368010620154,pacific_mart_nz_traffic_feed_only,120229561264060154,"23June_saree + suits_new_ad",LINK_CLICKS,"Nelson Province",not_delivering,ad,"7-day click or 1-day view",2,2,1,0.02,1,10,0.02,100,,2025-07-09,2025-07-09
2025-07-09,120223368010610154,Suits_Salwaar_new_stock_27th_April,120223368010620154,pacific_mart_nz_traffic_feed_only,120229561264060154,"23June_saree + suits_new_ad",LINK_CLICKS,"Wellington Region",not_delivering,ad,"7-day click or 1-day view",28,32,1.14285714,0.72,1,22.5,0.72,3.125,,2025-07-09,2025-07-09
2025-07-09,120223368010610154,Suits_Salwaar_new_stock_27th_April,120223368010620154,pacific_mart_nz_traffic_feed_only,120229561264060154,"23June_saree + suits_new_ad",LINK_CLICKS,"Auckland Region",not_delivering,ad,"7-day click or 1-day view",212,235,1.10849057,2.56,7,10.89361702,0.36571429,3.40425532,,2025-07-09,2025-07-09
2025-07-09,120223368010610154,Suits_Salwaar_new_stock_27th_April,120223368010620154,pacific_mart_nz_traffic_feed_only,120229561264060154,"23June_saree + suits_new_ad",LINK_CLICKS,"Bay of Plenty Region",not_delivering,ad,"7-day click or 1-day view",10,12,1.2,0.1,,8.33333333,,0,,2025-07-09,2025-07-09
2025-07-09,120223368010610154,Suits_Salwaar_new_stock_27th_April,120223368010620154,pacific_mart_nz_traffic_feed_only,120229561264060154,"23June_saree + suits_new_ad",LINK_CLICKS,"Hawke's Bay",not_delivering,ad,"7-day click or 1-day view",5,6,1.2,0.14,1,23.33333333,0.14,33.33333333,,2025-07-09,2025-07-09
2025-07-09,120223368010610154,Suits_Salwaar_new_stock_27th_April,120223368010620154,pacific_mart_nz_traffic_feed_only,120229561264060154,"23June_saree + suits_new_ad",LINK_CLICKS,Canterbury,not_delivering,ad,"7-day click or 1-day view",17,17,1,0.09,1,5.29411765,0.09,5.88235294,,2025-07-09,2025-07-09
2025-07-09,120223368010610154,Suits_Salwaar_new_stock_27th_April,120223368010620154,pacific_mart_nz_traffic_feed_only,120229561264060154,"23June_saree + suits_new_ad",LINK_CLICKS,Otago,not_delivering,ad,"7-day click or 1-day view",9,9,1,0.13,,14.44444444,,0,,2025-07-09,2025-07-09
2025-07-09,120223368010610154,Suits_Salwaar_new_stock_27th_April,120223368010620154,pacific_mart_nz_traffic_feed_only,120229561264060154,"23June_saree + suits_new_ad",LINK_CLICKS,"Northland Region",not_delivering,ad,"7-day click or 1-day view",3,3,1,0.01,,3.33333333,,0,,2025-07-09,2025-07-09
